Schlagwort;Idee;Problem;Lösung
Verwaltung;Bewertung des Ökologischen Fussabdrucks der entstehenden digitalen Projekte und Überlegungen zur Minimierung. Beachtung der 17 SDGs.;"(Mein Beitrag war wegen #Digitalisierung nicht im Ideenpool, sondern liegt seit Juni woanders)

Also bei allen digitalen Projekten den ökologischen Fussabdruck erheben, bewerten und so weit als möglich reduzieren. Und die Projekte unter Beachtung der 17 Sustainable Development Goals so sozial, gerecht und nachhaltig als möglich durchzuführen.

https://reset.org/knowledge/der-digitale...
Der digitale Fußabdruck – unser Ressourcenverbrauch im Netz | Grüner Alltag | RESET.org
reset.org

Jede einzelne Suchanfrage, jedes gestreamte Lied oder Video und jede Art von Cloud-Computing, milliardenfach ausgeführt, überall auf der Welt, ist für einen global immer größer werdenden Strombedarf verantwortlich – und damit auch für steigende CO2-Emissionen. Das digitale Zeitalter stellt uns vor große Herausforderungen.";
Kultur;online-Kulturkalender für Oberfranken;"Weder in FT, Fränkischer Nacht, Stadtecho oder online, findet sich ein tauglicher Kulturkalender, dem Konzerte, Aufführungen sowie Kunst-Ausstellungen und Museen plus deren Sonderausstellungen in Oberfranken zu entnehmen sind. Wer weiß, an welchem Ort es welche Museen gibt, kann sich Informationen ergoogeln. Wer aus Versehen irgendwo auf eine interessante Ausstellung stößt, hat riesiges Glück. Bürger:innen- und Tourist:innenfreundlich ist es nicht. Anbei ein Screenshot der online-Suche nach Veranstaltungen. Das Ergebnis ist terminlich durcheinander und extrem lückenhaft. Auch die von der Erlanger ""Wolfrum Kommunikationslogik"" mehr oder weniger gepflegte Seite ""Oberfanken-Veranstaltungen"" ist lückenhaft, zudem voller störender Werbung.";In überregionaler Kooperation einen online-Kulturkalender erstellen, der sich selbst über einen inkludierten Crawler die Informationen von den jeweiligen Webseiten zieht. Wenn dann noch ein Link zum ÖPNV sowie Routenplaner enthalten wäre, wäre es wunderbar.
Digitalisierung;Familienfreundliche Stadt 2.0;Wo gibt es in Bamberg Spielplätze? Wo kann ich mein Baby stillen? Wo finde ich eine Wickelmöglichkeit? Wo gibt es barrierefreie öffentliche Toiletten? Diese Informationen sind für Eltern, die mit Kindern in der Stadt unterwegs sind - ob als Einwohner oder als Besucher - enorm wichtig und müssen schnell und unkompliziert zur Hand sein. ;"Eine für die mobile Suche auf dem Smartphone optimierte Website auf Basis von Open-Street-Maps, auf der Spielorte, Wickelmöglichkeiten, Toiletten usw. eingetragen und mit Zusatzinformationen versehen werden können.

Anders als bei einer App (von deren Existenz die Benutzer überhaupt erst erfahren müssten), reicht eine einfache Browsersuche auf dem Smartphone aus, um die gewünschten Informationen schnell zu erhalten. Durch die Verwendung von Open-Street-Maps wird a) keine Datenschutzproblematik erzeugt, da keine User-Daten gesammelt werden und b) ergibt sich die Möglichkeit, dass die Informationen user-generated dezentral und stets aktuell gepflegt werden können."
Digitalisierung;Digitalisierung in Schulen;"Insbesondere in der Corona-Zeit zeigte sich, dass in Schulen noch zu wenig digital gearbeitet wird.
Des Weiteren können Lehrer im Alltag nicht den Lernstand jedes einzelnen Schülers überprüfen, da hierfür die Zeit fehlt. ";Errichtung einer digitalen Lernplattform für Schüler aller Schularten, bei welcher es ermöglicht wird, den Lernstand eines jeden Schülers einzusehen. Durch die Plattform wird der Verbrauch an Papier minimiert und Schüler könnten z.B. auch Bücher online verwalten (positiv für Rücken und Körper). 
Digitalisierung;Digitale Behördengänge;Die Beantragung eines z.B. Personalausweises ist zu aufwendig gestaltet (Beantragung im Rathaus und Abholung nach ein paar Wochen) ;digitale Beantragung von z.B. Personalausweis, Reisepass etc. über eine App oder über eine Website. Ggf. Einbezug der Möglichkeit von Onlineterminen (Videogespräch) 
Verwaltung;Car Sharing in die Wohnviertel bringen mit kurzen Wegen;Ein Fußweg von >5min ist ein Hindernis für viele das Car Sharing Angebot regelmäßig zu nutzen oder gänzlich umzustellen und auf ein eigenes Auto zu verzichten (bei Mehrpersonen Haushalten ein Zweitauto als nicht mehr notwenig anzusehen);
Verwaltung;Stromkosten intelligenter beeinflussen: Forcieren des Einsatzes von Smart Metern* durch die Stadtwerke;Steigende Stromkosten, teurer Spitzenverbrauch und -bezug, steigende Diskontinuität zwischen Stromerzeugung und –verbrauch, verschärft auch durch Wind-Solar-Erzeugung und Atommeiler-Abschaltung (2022), fehlende Transparenz von IST-Einsparmöglichkeiten für den Stromverbraucher und -lieferanten.;Forciertes, flächendeckendes Angebot der Stadtwerke/Stadtverwaltung zum Einsatz von Smart-Metern in den Bamberger Haushalten, Nutzung durch die Bürger auf freiwilliger Basis. Umstellung der festen Jahres-Stromtarife auf gleitende Preise in Abhängigkeit des tatsächlichen Ist-Verbrauchs im Stadtnetz, beeinflussbar durch das Verbrauchsverhalten jedes einzelnen Bürgers auch anhand von Verhaltensempfehlungen durch die Stadtwerke. 
Verwaltung;Sind der Schutz der Bevölkerung bzw. die Gefahrenabwehr smart?;"Corona und vergangene Unwetterlagen haben sehr deutlich gezeigt wie verletzlich unsere Systeme der Gefahrenabwehr bzw. des Bevölkerungsschutzes sind.

Leider ist der Schutz und die Gefahrenabwehr der Bevölkerung ein Metier bei dem man erst merkt was man vernachlässigt hat, wenn es zu spät ist und der Fall eingetroffen ist.

Die Unterstützungsgruppe Örtliche Einsatzleitung (UG-ÖEL) bzw. Unterstützungsgruppe Feuerwehreinsatzleitung (UG-FwEL) ist eine Gruppen von Führungsassistenten für den Örtlichen Einsatzleiter (im Katastrophenfall) oder für die Feuerwehreinsatzleitung (unterhalb der Katastrophenschwelle).

Das Handwerkszeug von Führungsassistenten sind Mittel zur Kommunikation, Dokumentation und Lagedarstellung. Abhängig von den beiden oben beschriebenen Szenarien erfolgt dies übergreifend und schließt alle beteiligten Organisationen mit ein (Feuerwehr, THW, ASB, Rotes Kreuz, MHD, Rettungshunde, ….). Neben zeitgemäßen analogen Handwerkszeug (z.B. gewöhnliche Büroausstattung, Whiteboards, Karten, Flipcharts, Post-ist, ….) gewinnt digitales Handwerkszeug (mobile PC/Tablets, Bildschirme, Drucker, Datenverbindungen, Übertragungswege/-kanäle, Informationsquellen, Redundanzen, Netzwerke,…) immer mehr an Bedeutung zur Bewältigung von größeren und komplexen Schadens- bzw. Einsatzlagen.

Betrachtet man die verschiedenen Großveranstaltungen in unserer Stadt und welche Szenarien sich in den letzten Jahren/Jahrzehnten auf der Welt ereignet haben, an die niemand zuvor gedacht hätte bzw. niemand in seiner heilen Welt denken würde, kommt man ins Nachdenken:

Klimawandel, Wetterextreme, alle 2-5 Jahre neue Jahrhunderthochwasser, Flächenlagen, Überschwemmungen, Ausfall von Infrastruktur, Wald- und Vegetationsbrände, Wasserknappheit, die Schnelligkeit der Verarbeitung von Nachrichten, überregionales Medieninteresse, fundierte Informationen oder Fake-News, Frühwarnung – womit? Bereitstellung von Informationen. Netzwerke und deren Vernetzung verschiedenster Organisationen, Einsatzkräfte, mobiler und gesicherter Infrastruktur. Steigerung und Vereinfachung der Zusammenarbeit.

Oberstes Ziele: schnelle Hilfe für die Bevölkerung, Schadensreduzierung und Schutz der natürlichen Lebensgrundlagen

Ist heute unser Schutz, unsere Gefahrenabwehr bzw. unsere Schadensbewältigung in Bamberg smart?

Falls nein – warum nicht?";Die Lösung ist komplex und richtet sich an bestehende und neue Netzwerke bzw. Technik.
Digitalisierung;App zu Abo-Kisten etc.;Es gibt sicher mehrere Angebote von Abo-Kisten und ähnlichen Vertriebsmodellen für Bio-Produkte aus der Region, die aber nicht so bekannt sind. Um die Bekanntheit zu erhöhen und die Nutzung zu vergrößern fehlt bisher eine gemeinsame Plattform zur Werbung und Bestellung. ;Eine zusammenfassende App oder etwas Ähnliches, über die sich die Nutzerinnen und Nutzer über die vorhandenen Angebote informieren können 
Mobilität;ÖPNV vereinheitlichen;Die verschiedenen Angebote des ÖPNV in Stadt und Land sind nicht unbedingt aufeinander abgestimmt.;Die Nutzungsmöglichkeiten sollten stärker vernetzt werden und die Möglichkeit der Digitalisierung nutzen, um Fahrpläne zu finden, bessere Anschlussmöglichkeiten zu generieren und das Ticketsystem zu vereinheitlichen. 
Bürgerbeteiligung;"Diskussionen in der ""Bürgerbeteiligung""";Wer nicht registriert ist, kann sich offensichtlich nicht unverbindlich mal informieren über die Themen und Diskurse. Obendrein wäre eine verständlichere Wegführung auf den Homepages der Beteiligungsplattformen auch wünschenswert: Hier gibt es Diskussionen zu einem Bamberger Thema und dort können Sie selber etwas schreiben und beitragen etc.;Wäre eine Öffnung nicht wünschenswert?
Verwaltung;Digitales Begrüßungspaket;Neu-Bambergerinnen und Neu-Bamberger sind teilweise überfordert von den vielen Fragen zum Leben in der Stadt.;Ließen sich diese Fragen gesammelt beantworten und in eine Form gießen ... inkl. Kontakten, Links und Empfehlungen zu wirtschaftlichen, kulturellen, medizinischen, bildungstechnischen und die Mobilität betreffenden Bereichen?
Digitalisierung;Kreislaufwirtschaft / Tauschringe;Bei der einen Person steht etwas herum, was die andere Person gerne übernehmen, nutzen oder leihen würde - allerdings kennen sie sich nicht untereinander. Dies ließe sich womöglich auch auf den Bereich der Wohnungssuche ausdehnen.;"Digitale Möglichkeiten sollten eingesetzt werden, um solche Kreislaufwirtschaft zu unterstützen.
Es fehlt EIN gemeinsames Portal für Wohnungsangebote und -suchen."
Digitalisierung;Leistungsfähiges Internet;"Wir wollen Digitalisierung vorantreiben und gleichzeitig berichten viele Menschen von Netz-Problemen, allerdings ist sie auch ein bedeutender Stromfresser.
Kostengünstiger bzw. kostenloser Internetzugang in der Stadt wird von vielen Bürgerinnen und Bürgern gewünscht.";Verstärkung der Kapazitäten (auch im ländlichen Bereich).
Barrierefreiheit;Bildung;Grundlegende (Fort-)Bildung im Digitalen wie auch im Kulturellen ist noch nicht für alle Menschen zugänglich.;Verstärkten Augenmerk auf diese beiden Bereiche richten
Mobilität;Werkzeugstation für Fahrräder;Es gibt immer mal wieder ein Problem am Fahrrad, aber nicht jede/r hat das entsprechende Werkzeug zur Hand.;Aschaffung von einer oder mehreren solcher Werkzeugstationen.
Mobilität;Prüfung des Lichtkegels von Fahrradbeleuchtungen um Blenden anderer Verkehrsteilnehmender zu minimieren;"Die Beleuchtung von Fahrrädern ist in Zeiten von LED-Systemen kein Problem mehr. Nabendynamo oder mobile Scheinwerfer liefern - hoffentlich mit dem Prüfzeichen des Kraftfahrbundesamtes ( = eine Wellenlinie, ein [K] und eine fünfstellige Zahlenfolge) - ausreichend helles Licht. Allerdings kann sich hier das Problem zeigen, dass die Lichtquellen nicht vorschriftsmäßig angebracht und/oder eingestellt wurden und die Radlerin oder der Radler unbeabsichtigt andere Verkehrsteilnehmende blenden, manche sogar auch bei Tageslicht!
Zu häufig nutzen LäuferInnen Kopflampen, die nicht angepasst eingestellt werden - auch diese Personen sollten darauf achten, dass sie den Lichtkegel vor sich am Boden sehen, und nicht hin- und herbewegend anderen Menschen blendend in die Augen leuchten - das kann nämlich kurzzeitiges Nichterkennen gefährlicher Situationen auslösen.";Zum einen sollte die Sensibilität für dieses Thema geschaffen werden, zum anderen sollte es an mehreren frequentierten Wegabschnitten Messstellen geben, die ähnlich wie bei Geschwindigkeitsmessung, den Blenderinnen und Blendern kurze Rückmeldung geben, damit sie selber schnell den Lichtkegel ausrichten können.
Stadtgestaltung;Lokales Foodsharing Netzwerk;Lebensmittelverschwendung ist ein großes Problem, sowohl für Einzelpersonen, also auch Große Konzerne und Supermärkte. ;"Öffentliche Kühlschränke in denen man Lebensmittel abgeben kann aber auch abholen kann.
Mehr Restaurants und Supermärkte auffordern zum mitmachen, um Containern zu verhindern
App für foodsharing in Bamberg die andere Apps zusammenfasst"
Digitalisierung;Bürgerbeteiligungs-App;die Möglichkeiten der Bevölkerung an wichtigen städtischen Entwicklungsvorhaben und -projekten teilzuhaben müssen ausgebaut werden. Bestimmte Zielgruppen werden bisher nicht oder nur unzureichend erreicht (Jugend, Migranten, Bevölkerung, die nicht unmittelbar von dem Vorhaben betroffen ist, Bevölkerung mit niedrigeren Sozialstandards...) ;Entwicklung einer App die die wichtigsten städtebaulichen Vorhaben für eine zukunftsfähige Entwicklung auflistet, beschreibt und im Kontext der gesamtstädtischen Entwicklung in ihrer Bedeutung auch (vor-)bewertet. Die App soll die Möglichkeit bieten, selbst Ideen und Vorschläge zu einem Vorhaben oder zu einem Projekt einzubringen sowie zu einem festgelegten Zeitpunkt darüber abzustimmen. 
Verwaltung;Ideen Contra Ideen;"Klare Definition ""Auszug z.B. Zitat Telekom:
Intelligente Infrastrukturen bieten uns einen Mehrwert, erleichtern das tägliche Leben auf vielfältige Weise und verbessern letztendlich die Lebensqualität. Eine smarte Stadt ist einfach gesagt so etwas wie ein Internet der Dinge mit intelligenten Dienstleistungen und Angeboten. Smart Cities verbessern die Beziehung zwischen Bürgern, Verwaltung und Wirtschaft und schaffen wichtige Voraussetzungen zum schonenden Einsatz von Ressourcen. ";"Brainstorming mit Bildung von Schwerpunkten

Herausarbeiten von realistischen umsetzbaren Maßnahmen (kurz-, mittel- und langfristig)

Formulierung von Lösungsansätzen

Anmerkung:

Welche Intelligenz schafft Mehrwert und erhöht die Lebensqualität:
z.B. intelligentes Parleitsystem ggf. über App
E-Mobilität, Car Sharing, Stadtwerke, Stadtverwaltung, Pflegeeinrichtungen. Altersgerechte Wohnen, Hot Spot, digitaler Fremdenführer usw."
Verwaltung;Potenielle Faktoren, welche einen Beitrag zur Entwicklung leisten können;Löse damit kein Problem, sondern zeige Schwerpunkte in einer möglichen Entwicklungsrichtung, Gangart auf ;"Smarthome, Smartliving, Smart Grid (Themen, welche wir seit zig Jahren bundeweit treiben in die Fläche bringen und mit wirken objektiv die Bürger über dieses Thema informieren, fördern und anregen
- Smarte Straßenbeleuchtung
- Smarte Ladetechnik für E-Autos (Überwachung dieser Parkplätze u.a. tatsächlich ein E-Autro drauf steht
- SmartBuilding (in zahlreichen öffentlichen GEbäuden ist diese Technik nicht präsent. Grund findet sich in den Reihen der Entscheider, Der Umsetzer (Elektriker) und auch maßgeblich in der Liga der Planer
- IOT (Internet of Things) Bereitstellung übers Kabelnetz von entsprechenden Dienstleistungen
_ Smarte Dienstleistungen
- Bürgere helfen Bürger
- Vereinheitlichung Notrufsysteme für Senioren
- Luftqualität
- Smart Parking

- Smarte Gesundheit - Notfälle können per Video Chat mit einem Arzt in Veribndung treten
- intelligent Shopping - Belebung der Innenstadt durch Push Nachrichten aufs Handy wenn gewünscht bzw. eine App in Bamberg der App ""mydealz"" in welcher ich auf Angbote explizit hingewiesen werde und diese auch dann ordern kann.

Smarte Sicherheit
Mit zu nehmenden Alter der Bevölkerung erhöht sich der Bedarf an Sicherheit. Anstelle von Einzel Aktivitäten könnten gezielt Problemzonen eine Beruhigung durch sinnvoll installierte Kameras in der Straßen erfahren

Smarte Energie - Intelligente Wasser- Gas und Stromablesung, verbunden mit intelligenter Rohrüberachung (Leckage).

Intelligente Herdabschaltungen

Intelligente Gesundheit - Beratung im Bereich von AAL https://de.wikipedia.org/wiki/Ambient_As...
https://www.youtube.com/watch?v=Zt_2sdry...

Dran denken, wir werden alle älter!!!!!

Zum Schluss noch ""Nice to have"" Veranstaltungskalender in welche alle Gewewrbetreibenden eintragen können und die Bürger auf einen Blick erkennen können welche Veranstaltung sie gerne nutzen würden

Smartes Car-Sharing

Smartes Loggen des Verkehrsflusses mit automatischer Regelung.

Dies zu schaffen Bereitschaft in den Reine der Verantwortlichen sicher zus tellen und all die Ideengeber, Pioniere und Visionäre um sich zu scharen.
Nicht umsonst keinst ein Sprichwort ""Gemeinsam sind wir stark""."
